Title,Published At,Duration (Min),Video ID,URL,Transcript
Global Exchange Markets in June 2024,2024-08-02 12:15:04+00:00,4,IaT8XK8dcQY,https://www.youtube.com/watch?v=IaT8XK8dcQY,what's going on in the global exchange rate markets which i think um from a macro investors perspective uh is always uh is always uh top of mind and i and i think um when you look at what's happening globally there is more you know we we basically have gone through the last five years have been a pretty correlated period in particularly across developed economies but really globally it's been pretty correlated um probably china being the main outlier and i i think increasingly what we're seeing in the fundamental conditions is divergences uh divergences that are functions of policy divergences and so in particular you know uh i think people sort of talk about us exceptionalism as if it you know it's uh it's is mana from above um rather than simply a function of different policy choices uh in terms of of how the economy is running and different structures and of the economy um but this idea that um you know the us economy continues to have higher levels of inflation you know stronger nominal growth rates which will likely lead to higher uh for longer monetary policy whereas uh other economies you know places you know europe in particular but also japan to some extent are are likely to have um you know easier monetary policy for an extended period of time given their both structural and cyclical dynamics is the sort of that will uh likely put pressure on the dollar to continue to be strong relative to the rest of the world and i think cuts really counter to there sort of this general theme that's out there in the market right now that that we're going to have uh like a us sovereign debt crisis or whatever at the time when the dollar basically hasn't been the strong in decades and and i think that uh divergence in policy and macroeconomic driven by macroeconomic conditions diverging from each other will contin to sort of emphasize the dollar relative to other developed exchange rates which um will surprise i suspect a lot of people over the course of the next uh couple years yeah i couldn't agree more actually historically in these types of periods you know what i what i do primarily is is trade volatility and look at volatility markets you know the volatility during that period in fx and gold which i by the way are i think more similar than gold is to oil even right um are are the assets that are the most um you know volatile during those periods and um represent the most opportunities too so uh it could couldn't be more historically that that definitely is in line people think that broadly all commodities are volatile during this period because i think about opec in the 70s and but the reality is oil was actually not very volatile it had a very you know clear upward trend and didn't have a ton of volatility um over over uh the 70s um and uh was under p pinned by by opec so kind of that that was like a fed put essentially on on oil which really reduced volatility so there are there are a lot of other assets that have been had volatility priced into them which are kind of false uh whereas fx and again gold are areas where i think calls in particular in gold and other types of hedges and in fx um uh are are wonderful opportunities um in the long
A Chaotic World and it's Impact on Macroeconomics,2024-08-01 12:15:05+00:00,3,wykgKhz_KGk,https://www.youtube.com/watch?v=wykgKhz_KGk,if you look back the last three years it certainly would suggest that the world is moving into a much more chaotic state than what we've seen before then this could this could last for a very very long time and i and i kind of just wanted to circle back a little bit maybe to hear whether you have any thoughts on this but also to the point that you made earlier that the majority of investors are probably invested in the wrong way because that is not the environment that the 60 portfolio was created for right i i mean i think the the the key thing when i when i hear that sort of uh perspective or or or or speculation is to have humility about whether or not that is true i think what causes macro investors to get out over their skis is where they start to project uh the fact that they have understanding of how macroeconomic systems work to how political systems work two very different things a skill set in one does not connect to a skill set in the other uh and so as an investor it's very important to understand what your edge is and where and where that where that is and where that ends and for me in particular let's call it sort of uh geopolitical perspectives is not an area where you should listen to what i have to say because i don't have an edge in projecting what is likely to happen what i can say is from a macroeconomic perspective various geopolitical outcomes have various macroeconomic uh consequences let's say and that those consequences the question is do you want to be prepared uh for a wide variety of those different consequences given the uncertainty uh or do you want to be concentrated in a particular set of of of outcomes and that's where i'd say i'd emphasize like most people holding the 6040 portfolio have a huge bet on peace and globalization it's been the truth in the past but is not necessarily the norm in the future and so a a critical thing is to help to create a diversified portfolio that helps protect against less globalization and more global conflict is not an exercise in projecting that it might happen it's recognizing and having the humility to understand that you don't know what's going to happen and so it's much more important to be prepared for a lot of different outcomes than for any one particular out
"How Long Is ""Higher for Longer'?",2024-07-31 12:15:01+00:00,5,BM3S4mAOvvw,https://www.youtube.com/watch?v=BM3S4mAOvvw,i'd love to hear how long i think this is the most important aspect as you highlight that that you know what what's happening to the cost of money and interest rates and i'd love to hear your thoughts on how long is higher for longer and how high is high um you know let's let's get into the details where do you see this going and why hold your feet to the fire so we can so we can uh you know measure this down the road as well yeah well the the exa the current state that we're in with interest rates let's say 4 and a half% uh and income growth the way that it's it's growing and and and basically interest rates have been here you know roughly for the last two years give or take you know a 18 months two years so we've had elevated interest rates for an extended period of time and nonetheless we've had seven quarters of at or above potential sort of total domestic demand uh you know getting around the sort of wiggles of the way that gdp is accounted for and so um and so what i say is in in many ways right now in this current environment we're in a bit of a stasis uh a sustainable stasis environment where you can continue to have you know income growth the way that it is interest rates aren't high enough to create enough of a drag in the economy to slow down spending to slow down asset prices and this can continue for an extended period of time the main issue with this current environment uh is not growth growth is fine the main issue is inflation's too high and that the amount of nominal spending that's occurring in the economy is just too high relative to the amount of productive capacity growth in the economy and so while we've made a lot of progress on inflation relative to the sort of supply chain driven inflation that happened you know a couple of years ago we're still we're stabilizing we've seen over the course of the last six months we're stabilizing at a rate of inflation that's too high inconsistent with the fed's mandate and so when i think about this problem and how long can it persist it's less about a time frame a calendar time frame and more about a set of of linkages what needs to happen in order to create a slowdown uh and in order to curb inflation and and what needs to happen there is you have to have uh if we have an income driven expansion then what has to happen is spending needs to slow well what will cause spending to slow what has to happen is is asset prices have to shift so how households have to become more fearful you right now if you're a household you're like my 401k is booming my house is booming you know my stock account is booming like why why should i save more right so what has to happen is assets have to start to decline in value in order to shift uh away from spending out of existing income and then the question is how do you get asset prices to fall well basically has to happen e one of two ways either you get an exogenous unexpected shock that you know none of us are planning planning for or you have to have a sufficient tightening of financial conditions to start to drag on asset prices so that means either the fed's got to do it or uh or essentially the bond market has to do it on its own and so that set of linkages it's it's less of a temporal thing and more an order of the linkages which is first yields rise then asset prices fall then spending slows then earning slow then you get layoffs and decreases in wage income and then that creates the negative spiral that eventually brings inflation down to target but so far you know the fed certainly doesn't seem to be doing the work and the long end of the bond market seems to be constrained a bit by the fed not doing the work as well as the fact that there's easings in global jurisdictions and so that's creating you know the that's creating pressure dragging the us bond mark the us bond yield down relative to the strength of the domestic economy
AI in Systematic Investing,2024-07-30 12:15:02+00:00,5,GAej22mmNOI,https://www.youtube.com/watch?v=GAej22mmNOI,you know these things are just tools ai is just a tool there's lots of different tools ai is also so general like there are very specific tools that exist and there are concepts that you're trying to capture and the tools are just ways to capture the concepts and the tools get more powerful and the techniques get more refined to take advantage of the more powerful tools so it's not like you know the way that you build systematic investment strategies today is frankly at all like what you used to do 20 years ago but the basic concept is the same which is like start with core intuition understand in an expert way a design of how you want what is the thing you want to capture and then find the tools and techniques that are most appropriate for that particular problem that you're trying to solve the functional reality is those tools and techniques have come along so machine learning all these different subsets uh separate from the geni llms of the world exactly exactly and if anything i think from an investment management standpoint like a lot there's a lot more um there's a lot more richness and frankly a lot more uh effective tools that exist uh and are being developed and you know it's really it's incredible how far we've come in at least in my career you know 20 years um that are more sort of quantitative oriented ai and machine learning techniques and you know even though everyone i don't know everyone's talking about you know large language mod models and chat gpt and stuff like that like you know chat gpt from uh from at least from from my perspective of what i well the problems we're trying to solve like it's pretty good at i don't know writing haus and uh and being a joke book in your pocket but it's like not that useful in you know trading financial markets yeah it's they very focused on different applications right i think everybody has there's there's a lot of noise out there but what is it doing specifically for the challenge it it's solving your business maybe and and there are certainly people who have business problems that are of the form create essentially generic text uh and do that over and over again and so that you know so i'm not saying that there's no value in l lmm or anything uh uh at all right there's no value in them it's just it's not like it's not the problem we're trying to solve for what you're doing right for what we're doing and that that's just what it is not the problem trying to solve and and you know the worst thing you can do and this and this really i mean this is a little bit like systemization philosophy is like the worst thing you can do is bring a tool which is totally wrong a tool or technique which is totally wrong to the problem that you have at hand and it's actually you know one of the things at least and that's particularly important in the asset management business because sampling is a real problem for a lot of these techniques which are high sample size problems if you're looking for you know pictures of cats like i can essentially create an unlimited number of cats and you can identify whether it's a cat or a dog or whatever um and so your sampling size is is is huge if you're thinking about financial markets like your sample size there's a limit there's a there's a literal functional limit which is like you could look at every stock you know every minute for the last 50 years and then you're done there is no other information that's out there you know of course you can look at macro data back further than that but like the orders of magn whereas i can create essentially billions trillions of pictures of cats infinite numbers of pictures of cats essentially i cannot do the same thing with training data for financial markets and so what that highlights is that you really do need expert designed systems that are carefully thinking about techniques and thinking about the limits of those techniques which is actually a pretty big part of the story understand the limits of your techniques and think about how do you make them robust and not overly optimized because you know that they are limited you know that they're handcuffed um and so you have to be careful about how far you push the optimization uh of the approach because you might overly optimize you know your technique to back history relative to what happens in in the future uh and so you know i i think that's uh expert design systems at least in the in the uh financial market world you know are going to be around you know basically forever because uh until there is a bet you know maybe there is a next generation better solution to the low sample size problem but until we get that you really do have to have expertise in terms of thinking creatively beyond the scope of what is you know plausibly in the data set behind you yeah definitely absolutely
The Economics of Shipping,2024-07-29 05:15:00+00:00,6,B_EAFolWz98,https://www.youtube.com/watch?v=B_EAFolWz98,how about shipping costs how do those fit into this into this puzzle as well you know does the conflict in the middle east really add to this cost for yeah i mean shipping costs are typically not a huge component of overall costs you know on the order of a few percentage points you know for like a shipped light good from asia into the united states um part of the biggest issue on uh shipping disruptions is that if you think about like demand is you know if you think demand is relatively constant let's say um and you get shipping disruptions let's just say you get supply that typically takes eight weeks and now it takes 16 weeks or something like that to come into the market that actually that's part that actually creates a real problem because people keep demanding it and demanding whatever the goods are and the supply is actually delayed um and if we were sort of always delayed then you start to build resiliency around that level of delay it's just when there's unexpected delays that that means that there's then frank like just functionally like less stuff on the shelves which functionally means that people charge more which creates a squeeze on prices and then of course you get these bull whips where you get inventory draw downs and price increases and then finally they sort of resolve the supply chain and then prices you know go from going up to going down um and demand starts to you know uh reflect that as well so that that's one of the conf confusing things about it is you kind of get these bull whips when you get this interference and so the general point of you know what i the imf actually did some very good studies on like what the incremental impact is of let's just say uh uh nash uh transpacific shipping costs go up by 100% or something like that the impact on goods prices is like you know 0.5% or 1% it's it's not that's not the big story it's not the big story the big story is the disruption probably probably because you can you know spread that cost out over so many units right right right there's so many units and and um and it's just it's just not you know the transport cost is just not that high in the scheme of things and and that should make that um that should be intuitive because like it is kind i mean it is kind of wild that we can you know that we produce things in asia and then put them on boats and have them take weeks to come to to the port of la and then and and then you know dist on trucks and trains and then distribut you know relative to producing them in our backyards and so the shipping cost must not be the big thing right uh because uh because otherwise you know if it was a huge input cost um it would it would cause you know there' be we wouldn't be producing nearly as much offshore um and so it's really about the changes in it and those changes you know have wor they were substantial during co and um i mean just the re rerouting of the ships you know away from the suz canal is like uh disruptive certainly disruptive at at a minimum mhm i remember seeing recently a video of how long it would take to pay off um you know one of these massive massive container ships um that's worth you know several hundred million dollars like three or4 hundred million dollar and you know you you initially you look at the sticker price of the ship and you think man it's going to take it's going to take this company years and years to pay this off it's like once you actually work out how many containers and how many units um you know as we're talking about this particular example the economics of it actually work out in like two trips it's it's unbelievable to think about that's wild that's wild i think the the only the only sort of core risk of this uh which sometimes uh people don't fully appreciate in the shipping uh dynamic is there is a a an elasticity issue with shipping which is it takes you know let's just say i don't know takes like a year or two to build a ship like a huge container ship um which means that if we start to get to capacity constraints in container ships and and there are capacity constraints um again going to that length of time the length of time is actually a real problem because imagine instead of every good traveling in four weeks that has to travel in eight weeks well then i mean to oversimplify you would need twice as many ships on the seas right uh to deliver the same amount of goods you know that's that's a that's a g you know a toy example but it kind of gives you an intuition around it and so um you know and because the goods that are sitting in the port of shanghai are worth essentially zero in shanghai and they're only worth capital if they're sitting in the port of la or long beach um the elasticity of shipping prices shipping prices are way more volatile than you know goods prices because uh if you know if there's a constraint on the supply of ships then you know you're out there bidding your ship because you want to get your good uh you know on the transpacific um and delivered into the market and so that's why you see such huge volatility you know 100% price increase in shipping cost is not not unusual by any stretch
"U.S.  Economy is Slowing, but Analysts’ Earnings Expectations Remain Elevated",2024-07-26 12:15:04+00:00,8,rwSXIa0cAk8,https://www.youtube.com/watch?v=rwSXIa0cAk8,in particular looking at the consumption uh measures i think are very interesting along this along this dynamic uh first quarter gdp showed a moderation of uh end consumer spending contribution to gdp growth moving down to about 1% in terms of contribution that's about half of what it was in the second half of last year and then you're also seeing in more timely measures for instance uh in the personal consumption expenditures uh you're seeing those measures pretty flat for the second quarter those measures just growth on their own about 0.8% annualized for uh the first two months of the second quarter that have been reported we'll find out the rest at the end of this month when the full gdp report comes out but odds are we'll see personal consumption be you know pretty modest over the course of the second quarter and again part of that general gradual deceleration that we're seeing in the economy at the same time on the flip side you know we've talked a lot about if' been around here long enough you you've heard me talk about the income driven expansion and so the labor markets are very important in the very important lynch pen in terms of continuing to drive uh the macroeconomy forward and to continue to get you know reasonably good spending and growth and what we've seen there is not a significant weakening of the labor market but we have seen some moderation across a number of different measures in the labor market uh here showing the timeliest measures seen with the the claims data uh the initial claims data which good indication of the rate of firings is still pretty stable relative to you know uh where we've been the thing that we're starting to see is that continuing claims data it's starting to creep up it's low in any absolute sense but it's starting to creep up reflecting the fact that uh some folks are get feeling a little bit more challenge in moving from unemployment back to employment ment uh so the lengthening of the duration of employment now these are the sorts of things that in you know this is not a uh fastpac recessionary uh curve uh you in order to see that you'd have to probably see uh a much steeper curve over there on initial claims with firings but it is indicative of some softening of the overall labor market and i think um you know the ba the basic dynamic if you look under the hood looking at the jel data is it's not it's not a uh it's not a slow down it's not a significant slowdown driven uh uh labor weakening what we're seeing more is essentially just a hesitancy to hire so what we're seeing quits you know soft relative to history about at the preco rate and we're seeing firings that's layoffs and discharges those are at the pre-co rate or maybe just a touch below uh both of those would indicate that you know there's there's not a lot of you labor's not really moving around very much people companies are fine with the labor that they have the main area that's the outlier is that the hiring rate has moderated to some extent and so that's what you're seeing here uh on the leand side are the the quits and layoffs and discharges and there on the right hand side is the hiring rate which is you know low relative to the pre-co pace noted uh in the line there and as a result of the slowing of uh of growth the slowing of employment growth uh we're basically seeing a slowing of nominal demand and so we've talked at length about how um this is an income driven expansion that income is being driven by uh continued uh employment growth as well as wage growth but those elements are softening like we talked about last month and so we're seeing the sort of gradual softening of nominal incomes down to about 5% give or take on an annualized growth basis and that's corresponding with a softening of overall nominal consumption which is also growing about uh 5% at this point so that puts us in a overall dynamic nominal growth about 5% nominal spending about 5% that's not a terrible environment for uh economic conditions ahead it's just certainly not consistent with a significant growth acceleration that's being expected for instance in analyst expectations and that's really the outlier here and and it's you know it's challenging in these sorts of environments um because you know when it's clear that there's a direction that the economy is going in terms of moving to a quick recession or moving to a boom and a lot of times you can follow the momentum and you don't have to get too worried about exactly what's priced in because the momentum by itself is sufficient uh to tell you you know which direction to go in these late cycle environments it's a bit different most of us haven't seen these late cycle environments but if you go back and study the ones in the 50s and the 60s and you study them across countries it's very normal that you get in a late cycle environment growth that continues to uh to the growth that continues but starts to moderate as the central bank titans in response to elevated inflation pressures but expectations which are almost always based on backward looking d uh experience continue to expect relatively strong growth just as the economy is slowing and so what we see here uh amongst analyst expectations in the equity market is very consistent with that sort of very classic late cycle dynamic you know if we look at the equity market we look at uh in this case s&p 500 uh eps over the course of the last eight quarters it's basically been flat there's been a lot of movement under the hood in terms of who is gaining and who isn't uh but the big picture is eight quarters flat earnings but when we look at how analysts are expecting to see uh earnings grow over the course of the next 12 to 24 months they're expecting a boom in earnings growth 177% year-over-year earnings growth expected by the end of the fourth quarter and a combination of near uh 30% earnings growth over the course of uh by the end of calendar year 20125 in comparison to calendar year 2023 those are huge numbers huge earnings growth uh that are expected uh particularly in light of the fact that we've had basically flat earn earnings growth over the course of the last couple of years uh just to draw some perspective on that if we look at how earnings growth has played out uh over the course of the last you know couple of cycles it's not unheard of to have earnings growth in sort of the mid double digigit range uh even for a couple of years the thing that's unusual about it is that it would happen at the late cycle rather than coming out of a bottom so we have seen earnings growth consistent with what's expected for instance coming out of covid coming out of the financial crisis and after a lot of effort coming out of the tech bus uh but in no cases have we seen earnings growth persist at that level for multiple years uh in a late cycle environment and so what is being expected is basically very strong earnings growth at a time when the economy is slowing in response to the tightening
Inflation Prints in Mid July 2024,2024-07-25 05:15:03+00:00,5,pGkbU--ezqw,https://www.youtube.com/watch?v=pGkbU--ezqw,you know inflation has uh has printed a couple of soft months um we have seen soft months in the past revert there's some real questions about whether uh we're seeing true disinflation or simply uh or or how much of it is being impacted by seasonal measurement issues which overstated the inflation earlier in the year and maybe understating the inflation this year we saw a similar pattern happened last year as well i i i think the basic question is you know given the circumstance where we have inflation that you know even with a couple of weak prints is still elevated relative to the fed's mandate and we have an environment where well we're seeing some softening in labor markets we're not really seeing an acute softening in labor markets if you look at for instance prime age uh working percentage so the percent of prime age population that are employed it's basically at secular high and has been flat for 18 um that's not an environment of that requires swift cuts to be delivered by the fed and so while there is certainly some desire from the fed uh to normalize normalize in their in their words not in mine to move interest rates down if we get easier inflation on the concern that there might be weaker dynamics in the labor market it odds are that this is all this whole process is going to move a lot slower than and be bumpier than the sort of straight line expectations that are currently expected in the markets i mean just look at what we see here on services x shelter which ultimately arbitrage to wages services x shelter you know there's lots of details under the hood um that that in terms of exactly how it gets measured but at a big picture level services x shelter is a function of either input costs like oil prices basically oil prices and gas prices or wages well what we've seen is two months of extraordinarily low services uh x shelter numbers notably we saw the same very very low set of numbers emerge last summer over the course of the same months raising the question about whether there's some sort of seasonal isue here uh and in a way that to be frank is implausible uh this sort of shift from being elev you know from running at uh four or five or six% to running at basically zero over the course of two months that's not how that's not how price growth works in the economy um and if you look and triangulate other measures of inflation core inflation surveys consumer expectations things like that there's basically been no change over the course of the last year and so much more likely that what we're seeing here is noise in the data rather than big shifts in the reality and so you you put that together with the fact that wage information continues to suggest that wages will remain wage growth will remain elevated in comparison to to pre uh to preco levels and where we're seeing productivity continue to be mediocre productivity growth to be mediocre at best uh these numbers are through the first quarter uh the second quarter is going to basically be the same 1.5% growth 1.5% employment growth that's 0% productivity you know an environment where we're seeing wage growth say eci at four to five% and at the same time we're seeing zero productivity growth that combination is not a combination that's going to lead to a significant wage disinflation while some numbers have come down things like average hourly earnings many of those numbers have composition issues and they're more reflective of the shifting composition of incremental employment than they are a reflection of the shifts in overall wages big picture is wage growth is growing a couple points higher where we were preco and productivity growth is growing weaker than where we were preco
"Supply Chain, Prices and Nominal Growth (and Their Impact on Economic Cycles)",2024-07-24 12:15:06+00:00,6,Zy1wbhOmUW8,https://www.youtube.com/watch?v=Zy1wbhOmUW8,um how much of the extended cycle this time do you believe was a result of uh the interventionist uh central bank policy in march of 2023 and the reason i say that is because in q4 of 22 we did have a contraction in those cyclical elements of the economy you had residential investment that was contracting you had a very uh sharp uh uh slowdown in durable goods consumption uh and then you had um uh a a situation where uh credit was uh on the brink of tightening very aggressively which presumably would have perpetuated a downturn in those cyclical areas of the economy it was alleviated one through um the bank term funding program facility uh two by sort of a blanket guarantee on uninsured deposits which was something of an unprecedented uh uh move so uh that that took the uh lending growth in um the banking sector from what was a pretty sharp gradient decline uh to one that was more of an l-shaped uh degradation as you say um now that again is catching up to us where we're slowing down again so how much do you think that that policy action uh extended the cycle um if at all i think um in a lot of ways we've we had you know some of those elements that look like very weak real growth in 2022 were in part a function of supply chain issues and prices right and you know we had if you go back and look at the nominal growth story then it wasn't it was not that bad um during that period i mean it stayed elevated and started to come out sorry for the funny uh funny lighting situation i just we just moved in here and uh and i'm still trying to get my production studio uh you still look good bob don't worry in good shape um the uh you know i think back in the in that in the 202 22 period we had a spike in inflation for sure um part of that was because we had a a r a big rise in input prices part of it was because we had you know the supply chain issues went on longer than people expected right and part of it was because you know incomes were finally catching up with the elevated prices from before and so you had this circumstance where there wasn't enough supply relative to the nominal demand that existed in that economy at the time and essentially had to be resolved through price instead of production because there literally wasn't any production you know you you couldn't you couldn't meet the production growth like of course people would have preferred heard to have met you know that demand with production but they they just didn't have the capacity to meet that demand with production and so i think that's part of the part of the reason why i think that was a bit of a head fake at that time and at the time that's sort of when i started this you know my weekly updates about the employment situation and stuff like that um which i know famous for you you love uh and um and the reason why i did at the time was because i you if you saw employment start to slow right so not just rationalize you know rationing the nominal demand with price but starting to create layoffs then that was going to be a signal that that cycle that cycle that flowed back into weaker you know the the weaker real uh production cycle with weaker real inc weaker incomes was actually going to that flywheel was going to begin to slow down in the economy but we didn't really see the labor market slow too much and instead we just saw high nominal income growth high nominal spending and high prices and so that's that's sort of the that's the way i would characterize how we sort of got through that period i think today is a bit different in the sense of like a lot of that income growth is decayed i mean just functionally like there's less employment growth there's a lot less employment growth a lot less you know wage growth has is still high higher than it was preco but it's not uh nearly as high as it was back then and you put those two things together and we just have much less spending power that exists for households today spending power growth than existed back in that period and so that's where this transition to slowing you know i don't know slowing but moderately growing uh is kind of where we are right now and that's a very interesting moment because um that is something that isn't necessarily going to um it's not like the economy's going to fall off a cliff in that circumstance it's just that that is that is not the sort of dynamic that's going to that's a deceleration dynamic not an acceleration dynamic
Financial Markets and Macroeconomics,2024-07-23 12:15:01+00:00,6,F2m7GFktOoE,https://www.youtube.com/watch?v=F2m7GFktOoE,"wonder if you could talk about how you would analyze a price target like that using this framework i i think um markets are not uh divorced from macroeconomic reality that's you know of course any price could be uh could be uh divergent for macroeconomic reality for you know for periods of time we've certainly seen plenty of that in our uh in our careers um but part of what and end up happening what ends up eventually driving asset prices is the macroeconomic reality for instance let's not forget you know there was like seven cuts priced in uh for the us for 2024 you know only six and a half months ago right but what policy actually transpired ended up being you know isn't divorced from the macroeconomic reality that occur right that that's you know that's the cor lary and so the same is the same is true for companies and and and stock prices of course there's bubbles there's busts there can be divergences but ultimately you know companies are stock markets are made of companies companies generate cash flows uh you know they generate earnings those earnings uh are purchased on certain multiples and so you can start to think about what are the ranges the and and sorry and those earnings are a function of sales those function of sales is a function of economic expansion whether they can pick up market share in the economy and so you can start to think about you know what are reasonable expectations uh in terms of what you'd expect so take a very simple example you know leave the 15,000 aside it's like five and a half years from now like you know who knows but just take for a simple example like today s&p 500 earnings are expected to be 177% year-over-year by the end of the fourth quarter okay so very simply how do you get to you know how do you get to 17% year-over-year earnings growth in the s&p 500 well you have to have some combination of margins and revenues that get you to 177% growth if you think of the s&p 500 companies as being a broadly diversified basket of companies uh that are reflective of you know the broad economy well if n growth in the us economy is let's say 5 to 6% just to be you know that that's that would be pretty good actually 5 to 6% over the course of 2024 if that's the case that that's what nominal growth looks like sorry for the lighting thing um then if that's the case then the way you get to 17% is you have to have you know margin expansion right margins are already expected you know are already at secular highs how do you get even more margin expansion from where we are today right to make up for the you know to get another 12% earnings growth well you have to have margins go up you know uh a a point point and a half okay well what are margins margins are just um the difference between sales and what your what the sales cost you and what's the biggest cost labor okay but there's an intersection between those two points which is a very important point which is if you pay labor less then they spend less right those two things are linked to each other that people often forget this um this comes up a lot like with the ai story they're like ai is going to create a productivity boom and companies are going to be able to fire a lot of people okay if you fire people then they have less money to spend right those two things are related to each other right this is why you can't have a stock market revenues are not disconnected from wage growth because people need money to spend and so if you think about that in a play how do you get the margins well the only way you get margin expansion is if there's de savings because it's only through the process of de savings that one can spend more than their income and so that's how that interplay works so let's get to that 17% number well if you take 5 to 6% nominal growth 5% nominal growth let's just say because the economy is slowing then i still need 12% to happen with margin expansion okay who are households going to borrow more are businesses going to do more cash capex and borrow more is the government deficit going to widen considerably like who is going to do what to lead to that expansion it's not disconnected from reality it has to exist in the context of the macroeconomy so i think that's people like that's such an important thing and it's the thing if you went through the 2000 cycle and you heard you all sorts of stories new economy companies are disconnected nope the 2000 cycle worked exactly the same way which is that you know ultimately earnings were not disconnected from the real economy and the real economy has limitations that's kind of the the interplay between all of those different pieces and you could think about that on a one-year time frame or on a five and a half year time fr"
Luck vs Skill in Investing?,2024-07-22 12:15:08+00:00,4,yC3tac5Q1bw,https://www.youtube.com/watch?v=yC3tac5Q1bw,luck and skill when evaluating the outcomes of investments you know it's something that i read about um a long a long time ago i think it was in the it was in a book called the art of thinking clearly and it's something that i i go through quite a bit in in my thinking of trying to understand the the analysis of getting something right versus just getting lucky so how do you go through thinking about that yeah it's a critical question whenever you're thinking about um an asset manager um it can often be very challenging to separate that luck versus the skill and in particular because people can always back rationalize why they held a certain set of positions and explain why those returns came the way that they did i i think there's probably there's probably two um two ways in which i would think about that problem the first way is to think about it uh from a sample siiz perspective um you know the the higher probability uh that you're uh you know there's a much higher probability that luck has a more meaningful influence when you have lower sample size um and i think we all sort of know the stories of you know people who called one or one and a half big shorts and then for the subsequent 15 years couldn't couldn't make any money because they got lucky you know it not totally luck but they were certainly helped meaningfully by luck on a small sample size outcome and so part of the thing you want to look at is you want to look at that sample size um you know you could start to see and start to believe in skill increasingly when you have more and more bets that you can look at over more and more time through more and more cycles i actually think from that perspective the last five years is actually a really good time frame to evaluate a lot of managers and the why that is is the last five years we' basically experienced every macroeconomic environment you possibly could have experienced and so from there you get a pretty good sense as to whether or not the return outcomes that you're seeing are they just simply following the market or is there something differentiated relative to that so sample size uh across market environments and across number of bets and time and things like that important and then you have to link that to process um a lot of times people will just look at outcomes and they'll say okay well you know that person called the fact that stocks were you know were going to be up for a long you know since october of uh 20122 and therefore they're smart and you're like okay but if what their process is is to just say buy stocks buy stocks buy stocks is that a process is that or is that luck versus people who have who can bring a compelling reason why their outcomes are repeatable because that's what you care about you actually don't care about what historical returns are because they're totally useless to you you cannot achieve historical returns in the future so what you have to see is what is the process because the process will define what the future outcomes will be and that's that's the most important thing pairing those two things the empirical observation through significant samplize with a process you put those two things together if you can get something that's reasonable uh and and reasonably reliable then you can have more confidence it's a matter of skill not luck
