Title,Published At,Duration (Min),Video ID,URL,Transcript
"Risk of US Re Inflation, China Disinflation",2024-09-25 12:15:04+00:00,4,WFjPwzgcUAE,https://www.youtube.com/watch?v=WFjPwzgcUAE,are you saying that right now the risk of a reinflation kind of moment is greater or less priced into a market and more real than say a downdraft in growth well certainly it's less priced into markets when you look at long-term inflation expectations the expectation is for you know for inflation to be at 2% or below 2% essentially forever uh and given the geopolitical dynamics given the fed's easing into a relatively strong economy given the fact that you start you still see a lot of sticky dynamics in inflation particularly related to wages which are showing some signs of reaccelerating that whole picture doesn't really align with the probabilities of you know a certainty around 2% inflation and much more likely that we have higher inflation head rather than lower inflation normally somebody with that kind of view would be bullish because if you believe in this sort of strong economy that could foster some reignition of inflation that would be probably positive for equity valuations but you wrote the stock market is priced to perfection and so far this is providing plenty of data points that the perfection is unlikely to be achieved in reality why well i think when you're tr trading markets you got to trade against what the price and expectations are and we're at pees that are you know almost as high as they were during the tech boom um we have forward earnings growth expectations in the mid teens that's a pretty strong scenario uh already priced into the markets now the fed is helping that along uh and that's probably a positive but i think the story is much more around u being long stocks relative to bonds because that's the scenario you know of the growth re acceleration that probably isn't fully priced into the market let's introduce china into the conversation they're now exporting disinflation perhaps even deflation how do they factor into your world view right now well china is experiencing uh uh debt deleveraging um you know akin to what happened in japan and akin to a classic balance sheet recession classic balance sheet recession and the policy makers there are um maybe uh driven by motivations are not related to macroeconomic policy more like political motivations and so for whatever reason they're choosing not to respond to the situation uh and so china's probably in this malaise for the foreseeable future um i think the effects on the west are are actually relatively limited and the reason why that is is you know china's deflationary impulse has been basically the same for the last couple of years probably china is not going to accelerate in terms of getting a a deeper and deeper um or a wor rate of deflation going on in the economy and if anything we've seen it tick up and so the big picture is it's not it's probably not the main story that's going on when you're looking at us inflation western inflation in general what really matters it's the labor markets it's all about the labor markets it's all about that wage data uh if you look at the atlanta fed wage tracker data we're one to two points above where we were preo uh and unless you believe productivity has matched that increase uh that's an underlying inflationary pressure that remains in the economy but bob isn't the deflation ar pressure coming from china has everything to do with the commodities market isn't that helping western economies yeah it certainly is an effect on the commodities markets and if you're trading you know copper or uh or other direct commodities that china has a meaningful share of that's going to be an influence a meaningful influence on that supply demand but the flow through of that to to the um to the us inflation picture it's pretty tiny compared to rents labor um the other sort of imported you know the other sort of imported goods costs that um you know cars new cars used cars all of those things represent a much bigger impact on us inflation and us policy
"Equity markets, Fed Cuts and Inflation",2024-09-24 12:15:05+00:00,4,y36GJaSo9WM,https://www.youtube.com/watch?v=y36GJaSo9WM,hey bob great to chat with you i want to talk about what we are seeing across the board in terms of sector action with the s&p uh closing at a fresh record today but that wasn't the case across the board we saw a little bit of pressure in tech we saw utilities performing well do you think that there are certain sectors of the market that are kind of coming out of recessionary territory and others that are preparing for it what do you make of the bifurcation well i think a lot of this comes down to the pricing and when you look at what's priced into the tech side side uh of the equity market uh you have not only perfection but uh you know some of the most uh incredible uh earnings outcomes that you could uh that you could achieve and so i think part of the story here on a forward-looking basis is that easing is going to help create a bit more breath uh in the overall stock market so those areas of the market uh that have been uh underperformers relative to med cap uh growth companies are likely to see some benefit from an easing of financial conditions and at the same time those lofty expectations in uh the mega cap tech stocks you know are continually very challenging to uh to meet on an ongoing basis and so i think some cooling there relative to the rest of the market uh makes a lot of sense ahead let me ask you bob you know the fed did deliver that super siiz cut and i think investors are trying to figure out what comes next year what's the path of and trajectory of cuts look like from here what are you telling clients bob well i think the most important thing about that meeting was that uh chairman powell uh outlined the need to cut monetary policy ahead and at the same time talked about those cuts in the context of a strong economy and that combination of dynamics plus the speakers that we saw come out uh through the course of today suggests that the fed uh is happy to cut interest rates even if the economy is strong so it's not necessarily clear that you need a meaningful weakening of employment conditions over the course of the next 15 months to get the kind of cuts that the fed uh has talked about and the reason why that is is they you know the fed believes that inflation is beat uh it's no longer a concern and so if it's no longer a concern why maintain interest rates at this level when you can you know cut interest rates and avoid even the smallest risk of an economic downturn are you buying that call on inflation from the fed bob well i think the way that measured inflation is reported we're unlikely to see a meaningful shift in measured inflation over the course of the next year plus and i think that's a very interesting dynamic which is that to the extent that uh the fed delivers uh accommodative policy into a reasonably healthy economy that's likely to create inflationary pressures ahead we're already seeing it to some extent uh in seeing wages start to pop up a little bit uh by very timely measures but the problem is that will not flow through to measured inflation rates until you know 12 15 24 months from now and so the fed is going to juice the economy here and probably juice asset prices but won't suffer the consequences in the reported data uh until you know considerably uh ahead and so that creates this period of time where there's the risk at the fed is too easy relative to underlying conditions
The Constraint on AI Growth Expectations,2024-09-23 12:15:04+00:00,5,rRfBhNsPwpY,https://www.youtube.com/watch?v=rRfBhNsPwpY,turning turning to the ai story um you know the the the the greatest techno optimists will talk about how ai is going to deliver um double digit earnings growth over the course of the next 10 years as a function of incremental investment increased productivity and margin expansion by companies um and the reality is that just the investment and just the increased productivity even if you pencil in incredibly good productivity like a 2% support to productivity has a very modest impact on earnings because you know a lot of that you know margins are only 14% or 133% so you know if you get increased productivity and it goes to equally to labor and capital it's not that big a deal it helps your top line but that's about it the real thing that the techno optimists in the ai world are talking about is massive margin expansion and for instance to get to mid double digigit earnings growth over the next 10 years you would have to have margins expand by 1% every year for the next 10 years and why would they right yeah and the challenge with that the challenge with that that the techno optimist can't answer is if you get more productivity if you sorry if you get better margins what that means is you're firing people relative to your top line and who if you fire the people who is spending the money the only way that margins expand is if you have someone else some other sector to savings and so in order to get anything close to what uh those folks are expecting you'd have to have a different sector of the economy started to save by at a rate that's something like six or seven per of gdp every single year forever to support those margins you know are we gonna have government budget deficits that are 7% of gdp bigger forever in order to support those margins are household is going to just save 7% of gp a year like it the math doesn't work and this is this is the exactly the same problem that happened in the tech bubble back in 2000 is people were penciling out the same sort of outcomes and didn't recognize that it the implausibility of having you know that productivity boom that isn't met with rising incomes and that's basically you know set expectations that were implausible that then collapsed so is that what people are missing in this is that even though we have companies that are profitable and that's one difference between today and the 200 bubble uh the growth just isn't where the market has priced them in yeah i i i think i think the big the biggest challenge the biggest challenge is whether or not i mean the i think tak a step back technological innovation is very very hard to fully understand the magnitude of technological innovation and the idea um you know essentially what people are saying is that this is uh that this is going to have an effect that's equivalent to the personal computer you know i'd say uh you know my base case would be that that's probably not true um uh but you know it could possibly happen but i think the the thing that people really miss is the cash flows because it uh like the laws of physics cash flows uh are the are the constraint to uh corporate uh you know corporate income right it corporate income is not a uh it's not a theoretical thing it has it's built of cash flows both in terms of revenue and spending and if you can't connect you have to connect that optimism to cash flows to get the outcomes that are being described and that's the thing that doesn't fully that doesn't connect well and i and i have talked to plenty of techno optimist and i've gotten none of them none of them have given me an answer to the question of if you fire all the people to get those margins who is going to pay for the topline growth
The U.S. Dollar As Reserve Currency,2024-09-20 12:15:05+00:00,3,gD93Xi0nWp0,https://www.youtube.com/watch?v=gD93Xi0nWp0,if you look at the history of what has brought down um core reserve currencies it typically takes losing a war um as a primary reason why you why there would be a transition you just blew my mind but honestly away from that currency and so um you know could i what are the probabilities could i see uh a situation where there's a meaningful global conflict and the us is a loses that global conflict and as a function of that um you know the us monetary system becomes less important uh certainly i think to suggest otherwise would be uh foolish um absent that at least you know i'd say in the next 10 20 years there's not a lot of clear alternatives that exist and that's really when it comes to a reserve currency it's not the perfect currency uh it's it's the one that has the deepest most liquid capital markets with the best sort of legal infrastructure and that's really that that's the us like like i always thought you know and i was um very familiar with some uh very aggressive ceno files uh that the idea that china was going to take over uh the chinese yuan was going to be a meaningful reserve currency to challenge the dollar like that always sounded like garbage to me given you know the infrastructure i always like whenever i think about the chinese yuan and the reserve currency i think about um uh the the comments from the head of the russian central bank which who who's actually like quite a sophisticated thinker in in markets and she's basically like why the heck would i ever hold you know chinese yuan in the case of an emergency they'll just take it away from me with capital controls no point like man if the russians won't hold your currency as a reserve currency like you know good luck yeah i agree do you want them to be the arbit arbiter of global trade and the answer there is no but is kind of ironic that that came out of russia considering we did freeze up a lot of their dollars absolutely right but even with that even with that they won't hold the chinese one still trust okay so yeah that is that is an excellent point
The Value of Gold,2024-09-19 12:15:00+00:00,4,EnQcD1aRSxE,https://www.youtube.com/watch?v=EnQcD1aRSxE,"well i think gold from uh from a more secular perspective i i find very compelling for two reasons one from a fundamentals perspective if you just you know what what problem do we have globally not not not just us go gold is a global asset very important to recognize so like what happens in china and you know other developed economies and in the emerging world they all matter to gold supply and demand the big picture story globally is we have too much debt and particularly too much government debt relative to our ability to earn income in the future uh to pay off those debts and the basically the way that that works and you know that that's that's a story that has existed many times in the past through many different cycles and has basically only resulted in one very simple solution which is the devaluation of money relative to stuff uh and incom producing assets and that's that's how it works out and so that sort of fundamental you know who knows you know today tomorrow 3 months who knows but what what matters is sort of strategically we're in that circumstance that should be beneficial uh you know should be really beneficial to to gold uh over time and then i think um you know more structurally i think gold has benefited from uh being totally vastly under owned particularly in the west like the you know if you look at financial advisers 90% of them don't have literally zero zero gold in their clients portfolios and those that do have gold you know the average is like 1% of your portfolio and you just compare that to stocks or frankly bonds and you look at it's like the whole world is overweight stocks and bonds and nobody holds any gold and so it just doesn't take that much shift in allocations a one percent shift in allocations would be a huge influence on the gold market that's amazing quick can i throw two quick followups so number one you said gold is a global asset we're not really like a bitcoin show but we have had crypto people on like nat let natalie brunell most notably and uh we're always i'm always trying to distinguish between the two i think you said something that's important gold is a global asset um bitcoin is not right not yet i mean even ch like china banned it at least for a period of time could you say that bitcoin currently is not a global asset well i i think i think bitcoin is um there're certainly a there are certain certain areas of the world that are excluded from it and excluding china uh through bands is a is a pretty big component uh of it and you certainly contrast that with gold like part of the reason why there's so much domestic chinese gold demand from the private sector is because they can't invest in other assets uh including bitcoin right so gold you know real estate sucks stocks suck you know wealth management products suck uh they can't get their money out of the country into dollars like the only thing that's left is to you know p gold that's it's it's you know the the the longtime asset i think when it comes to to bitcoin you know the corrar there's certainly some corrar between bitcoin and gold i just think when you think about which uh people are going to move to in this sort of environment like gold has three a 3,000-year track record in a certain you know uh demonstrating these return properties bitcoin has meaningfully less track record and if you just empirically look at the return pattern you know gold is doing what you'd expect it to do given that fundamental dynamic and the drivers of bitcoin been much more idiosyncratic uh over time and so you know just less confident that bitcoin is going to be a good uh alternative currency uh or or a reliable alternative currency"
Will The Consumer Be Driving Demand in Q4?,2024-09-18 12:15:04+00:00,2,ZiarhIbXPXk,https://www.youtube.com/watch?v=ZiarhIbXPXk,to a little bit more micro bob lost potentially in all of this is the fact that after september we've got q4 and the consumer is very important during q4 and not just the high-end consumer we've seen some credit stress uh inflation stress on the middle class workingclass consumer what kind of signal do you think the market which is still expensive is going to need to see during the fourth quarter to feel like everything's okay well i think the the key challenge on the equity side of things is uh just strong the expectations are for earnings growth over the course of the next you know 15 to 18 months they're really expecting something like you know low to mid double digit earnings growth uh and the only way you're going to get there is either through pretty good top line or you know pretty significant margin expansion up back to highs and so the question for i think a lot of folks that are looking at the stock market is how do we get those sorts of relatively elevated expectations to get realized you're going have to see a lot of strong demand in the economy and so far when we look at what's going on you know demand is okay it's not meaningfully slowing or creating anything that's close to a recession but we're a long way away from the type of boom that's being priced into stocks right now i can't help but wonder if we end up seeing a lot of buying this holiday season without a lot of discounting and then you you don't end up with uh with those things that you talked about
How Do Elections Factor into Asset Markets?,2024-09-17 12:15:02+00:00,3,DvkK9ogcDtw,https://www.youtube.com/watch?v=DvkK9ogcDtw,so obviously we have a us election coming up you know we've had this big turn of events with kamal harris replacing joe biden um you know i mean how how how do you look at like an election as a factor when it comes to investing in markets i think most elections uh are uh are more riskmanagement uh type uh periods rather than uh rather than uh times to generate alpha i i think anytime your your uh your macro uh your macro manager is out there saying that they have an edge in trying to predict you know us elections or uk elections or any of these elections like they're getting over their skis the ability to predict the macroeconomy is totally unrelated to the ability to predict elections uh frankly uh elections seem you know much more uh in the area of astrology to me that they are of concrete uh concrete fact and so when you're trading through these sorts of periods you you want to understand what's priced in but probably the biggest thing you want to understand is uh making sure that you're not overly exposed to one particular outcome or another um in this circumstance you know i think they're it's any reasonable person say basically it's a it's a coin flip it's about a 5050 um you know anything other than that is kind of marginal um there are relatively big differences between the parties there's some similarities in terms of likely continuing uh an expansive fiscal policy but there are pretty big differences whether it's about tariff policy uh immigration or uh or about um let's say uh corporate friendly positioning uh whether it's on taxes or regulation and so you know an election uh of either party could could either could create meaningful divergences in asset markets and so you just don't want to be overweight one particular view or another and i think if you went through the 2016 election or you went through brexit which are both i think good pes where you had bodal outcomes that were very um very close uh and you had large market moves in either direction as a function of those of those outcomes uh and some of which were unexpected um you know i think it's very important just to not not get to overweight one of one particular outcome or another
Considerations for Proactive Rate Cuts,2024-09-16 12:15:00+00:00,4,0sjnzy5x-OE,https://www.youtube.com/watch?v=0sjnzy5x-OE,you should the fed proactively cut like the relationship between um things like uh openings and wages and the unemployment rate are not known i think it's just really important to recognize that we do not know how those things are going to play out through time uh and as a function of that i think it's very important to recognize that um because of that uh making policy decisions based upon speculation about how relationships might play out job openings as a simple example relative to the unemployment rate or wages um is foolish uh and therefore i think um you know could shouldn't the fed preemptively cut uh in order to avert recession dynamics um i think is it's it's always a question there's always the um the desire or always the lever um where recession dynamics always seem scary ahead and it always can feel better to cut interest rates now on the possibility that um that recession could possibly come and you want to get ahead of it but what we've seen you know but but there's a risk and i think the risk is not talked about in it which is that if we reinl this economy after a period of years of above target inflation um a reinflation of this economy could easily create a scenario where inflation expectations become stuck uh at at a level that is elevated um compared to you know a desirable level at 2% and without a meaningful deterioration of growth it's not clear that uh it's not clear that we're getting a meaning ful deterioration and growth and without that it's not clear that the balance the challenges of higher embedded inflation are worth the risks of you know are worth proactively cutting and that's the tradeoff and i think in general we say proactively cutting that doesn't mean maybe the fed cuts 25 basis points or whatever maybe the fed cuts a little bit what i'm talking about is aggressive cutting and so uh the argument that there is no cost of aggressive cutting you know from aggressive cutting is is um people aren't considering the the possible consequences of it and uh embedded inflation from a structural perspective go back to the 70s talk to people who lived through the 70s and the pain that occurred there that was 15 years of terrible economic pain and so avoiding years and years of terrible economic pain in order to you know avert a possible circumstance that labor markets might possibly be deteriorating that's not a good trade-off and i think that's the that's the thing that the fed and and to be clear other central banks are wrestling with and they're increasingly recognizing that um you know there's no reason to be proactive in particular from the fed's perspective because if things start to be meaningfully weak they can always cut interest rates given the fact that they have a meaningful range at their disposal
Unlimited Macroeconomic Webinar September 2024,2024-09-12 12:15:07+00:00,23,Wpl8ppZObxw,https://www.youtube.com/watch?v=Wpl8ppZObxw,[music] september 2024 macro webinar asking the main question how many cuts so this month i wanted to do something a little different than what i've done in past months um instead of uh looking at sort of a bespoke set of information across the various uh economies uh and talking through and and giving that synthesis based upon all those sort of individ visualized or tailored perspectives i wanted to scan across the major developed economies using largely similar charts across each to really help uh give perspective on the biggest them that i think is going on in the markets right now which is the expectations of an aggressive easing cycle by developed world central banks despite the fact that inflation remains elevated and economic conditions remain pretty good uh across most of the developed world and so let's get into it uh i'll start with this chart in the us which i think is probably the most important chart uh in terms of what's going on today and here the green line is uh the target rate and the blue line is the two-year interest rate and so what you can see here is that the two-year interest rate is trading way below about 175 basis points below the current fed funds target rate and what this effectively means is that market participants expect that interest rates on average over the course of the next two years will be 175 basis points lower than they are currently today and essentially what that means is that there's going to be an aggressive rate cutting cycle uh as much as 225 basis points over the course of the next 12 months and continuing uh thereafter that's the path of monetary policy that's necessary in order to get the type of two-year interest rate pricing that we're seeing and so what that means is that at its core what we're seeing across the economy or across markets is this expectation of a very very aggressive uh fed cutting cycle ahead now i think it's important to connect that to what's actually going on in the real economy if you look at what's happening with growth conditions they're on the leftand side a couple of different measures real gdp we also have you know final sales of to domestic purchasers and final sales of domestic producers all just different lenses to understand what's going on comprehensively with the economy and what you see when you look at this is that despite the fact that interest rates have been elevated for an extended period of time what we see here is that real gdp in the united states real gp growth has remained you know depending on exactly how you measure it between two and 3% that's pretty good for an economy that has uh a prime age workforce growth rate of you know below 1% um and productivity on a longer term trend basis that is you know a percent or so um maybe a percent and a half you put that together and you get an outcome where um this level of growth is creating a level of prime age labor force participation that is at multi-decade highs um while there's a lot of focus on the unemployment rate that unemployment rate of course is uh at the economy wide level it's still pretty low all things considered at 4.2% um having ticked up somewhat from last year uh but when you look at essentially the core workers the folks who can who are you know their prime ag working days what you see is that basically um you know it's been a long time since we've had this level of employment and that hasn't really changed much over the course of of the last year um despite the sort of unemployment despite the unemployment rate rising most of the unemployment rate rise has actually been amongst younger cohorts below uh 25 um so reflecting the fact uh and has also been a function of the fact that we've gotten a big rise uh an increase in new supply people coming into the labor market so that can overstate the weakness on the economy-wide level whereas when we look at the core of what's going on with the labor market it still looks pretty strong not much deterioration here so reasonably strong economic conditions you know fine economic conditions labor force uh participation or labor force or employment amongst the core of the economy you know at alltime highs and still dealing with the persistence of uh elevated inflation relative to the fed's target now here on the left hand side i show both cpi um which is you know currently running in the low threes and expected to basically stay at the same level about 3.2% based upon what's expected uh in tomorrow's uh report core cpi year-over-year and then of course we have core pce which is a little bit lower for a variety of technical reasons you can see it's generally lower than cpi um which is still running in the mid tws you know both of which are clearly above what the fed's target is and um with with relatively challenging comps through the back half of the year it's um you know unless there is a uh surprise uh deceleration and inflation and measured inflation odds are that these numbers will remain elevated compared to the fed's target and probably even more important than the nuances of exactly the timing of year-over-year inflation and the and the and the comparables ahead is the composition of inflation still reflects the fact that there is a fair amount of in embedded inflation pressure in the economy on the right hand side i've broken down inflation to two different pieces which is the services side as well as the good side and i think it's important to recognize if you look at that blue line what you see is that a big you know a big driver a big driver of what we've seen in terms of the disinflationary environment has been a function of poor goods prices falling rapidly in fact the pace at which they're falling today is the lowest pace that they've been you know essentially the most negative that they've been uh for pretty much the last uh three or four decades except for a a short period um in just after the 2000 uh bubble crash and so what we're expecting to to believe that uh that the current level of inflation will persist for an extended period of time is really quite a bet on uh the fact that these core goods prices will continue to fall at the pace that they've been falling uh in the recent period and so you know that certainly is uh you a big part of what's happened uh in terms of price growth is that we've seen a transition from you know the rises that occurred during the supply chain disruptions to now some of those prices normalizing but at some point those core good prices are no longer going to be normalizing and what they have to do is keep falling at the same rate to get this level of disinflationary pressure in the economy at the same time when we transition over to the services sector what we see is that services inflation in the us remains elevated of course part of this is the housing story but uh services x housing for services x housing also remains elevated reflective of the fact that nominal wage growth in the united states remains elevated compared to where we were in a pre-co period so you add that all up and um and basically drawing a straight line to say inflation is beat is a big bet that core goods inflation is going to continue to decelerate as rapidly as it has uh essentially in into the future and that we're um going to get enough labor market weakness that's going to bring down services price inflation which as i show on the first chart we really haven't seen all that much labor market deterioration over the course of the last year or so that has to be contextualized with this story which is essentially the most rapid interest rate cuts the only time we've seen interest rate cuts at this pace has been in the depths of the financial crisis and the depths of the 2000 tech bus and so uh at this point the market is all in not just on cutting rates as a function of some moderation of inflation but way beyond that essentially pricing in a near certainty that we're going into an immediate recession which would cause the fed to need to be uh aggressively accommodative uh given the uh given the pricing you know at a time when things are fine uh uh and you know with stock markets at all-time highs and spreads at alltime lows it's not like there's a lot of pressure from the financial economy to create a meaningful slowing of the us economy here now scanning to the next uh the next spot on our map which is europe we see basically the same dynamic in place where there has been one cut uh that's happened so far uh but the target rate remains about 140 basis points above what the 2-year interest rate the german 2-year interest rate is uh reflecting the fact that there are expectations of very aggressive european cuts ahead that's coming in a time when the unemployment rate is at multi-decade lows and services inflation you know headline inflation continues to be elevated core inflation continues to be elevated and in particular the service sector inflation uh they're shown on the right hand side in the gray line is really moving in the wrong direction when it comes to uh the ecb's goals here uh and so in that circumstance a tight labor market pretty good wage growth uh as a function of that a pretty poor productivity growth elevated services inflation elevated core inflation again you have to come back here and say look at what's priced in an aggressive easing cycle in the context of an economy that continues to have above target inflation and relatively uh tight labor markets and decent you know decent grow for the european context um you know not necessarily booming growth in any absolute sense but growth that is strong enough given the productivity to continue to keep labor markets relatively tight the uk another similar story which we see here uh in this case slightly less aggressive uh but uh despite you know we've had one cut so far um and we're still seeing two-year interest rates uh trading about 100 basis points below the current interest rate level it's notable uh that that you know that implies an aggressive easing cycle coming out of the uk which is notable considering uh the speech at jackson hall um from uh the boe governor that the desire was to be uh you know that inflation is not necessarily uh beat that you can't necessarily call victory and that the boe intends to to be slow moving in its behavior ahead and there's good reason for that when you look at the underlying fundamental conditions in the uk on the left- hand side the unemployment rate roughly at secular lows we saw another print this morning that was um you know that that was even better than what is shown on this chart uh and you see inflation that continues to be elevated particularly driven by services inflation which is particularly driven by wage inflation which is keeping overall inflation up and in fact the boe by its own uh projections expect uh that inflation will remain above target over the course of the next uh 18 months or so and so connecting back to what's going on in terms of the market pricing you see a very aggressive cutting cycle priced in at a time when you know growth conditions if anything are perking up a tad um and you're seeing you know strong labor market strong wage growth elevated inflationary pressures australia another example here um where uh you know the rba has been hesitant to cut uh given the continued inflationary pressures in the economy uh yet two years are trading about 70 basis points below what the current target rate is maybe not pricing in quite as an aggressive set of cuts as uh as in other locations but still a pretty uh significant easing cycle priced in and this is coming at a time when employment as a share of the population is also at secular highs pretty stable and at secular highs and where we continue to see australia inflation well above the rba's target uh predominantly driven by that elevated services inflation and the rba has been very clear about their hesitancy to enter an easing cycle given this combination of pressures certainly uh pushing off expectations of cuts in the short term uh and raising questions about whether they have the ability to cut interest rates much at all given the underlying inflationary pressures that they keep seeing in the economy now canada i think is an interesting case um because it is one of the places where uh there's a significant easing cycle priced in but where the macroeconomic conditions align with the type of conditions that would occur uh in you know type of conditions that align with an aggressive uh easing cycle and so you know most people don't really care about canada it's pretty small all things considered um for macro investors it's a market to trade but i think if anything it's it's for most investors for a broader uh investors with a broader perspective i think it's uniquely interesting because what it does is it it gives you a sense as the type of economy me that where these conditions are appropriate where conditions are aligned with a big easing cycle so you see some easing has already occurred and further easing is expected ahead and what's happening to align with that well you're seeing basically a rapid deterioration of the labor market conditions in canada uh we've seen the unemployment rate rise about a point and a half give or take um and its deterioration is uh accelerating and particularly um if you start to look at some of the private sector dynamics that are going on uh the deterioration is even more acute and more rapid uh and while canada continues to get a relatively elevated amount of immigration you know this is not an this is not a labor supply side story this is a significant deceleration in uh in the rate of uh job creation in the canadian economy and so you're seeing deterioration you're seeing accel some acceleration in that deterioration you're seeing a level of unemployment that looks more midcycle relative to what was going on in the previous cycle this is not a great scenario and you also see growth that's running at about zero um for an economy that has relatively strong uh employment growth so a per capita gdp number which is pretty clearly negative and so that that's an economy that needs some stimulation it certainly doesn't need restrictive interest rates and you also see on the inflation side inflation has uh come down now the bank of canada has a slightly different mandate because it's got a one to 3% mandate but you see basically uh that most inflation measures are basically at you know that 2% level well within their target range and and so this is the type of economy a rapidly deteriorating labor market one in which um you know one in which inflation is already back to the mandate where it makes sense to normalize interest rates uh to reduce restrictive interest rates in order to support the economy but that's a story that's totally different than what is going on in places like the us europe and the uk and australia very different story similar pricing but a very different story in fact the pricing in the us is far more aggressive uh over the course of the next 12 to 18 months than it is in canada despite canada having much weaker uh conditions in place and a more explicit commitment to an aggressive easing cycle of course in the developed world the one outlier is in japan um there's been a lot of talk in uh uh in the sort of uh mil of the macro world about how japan is likely to enter a tightening cycle there was some commentary from japanese policy makers at the boj um uh you know speaking to the the parliament there about you know the desire to normalize interest rates uh but certainly the markets have not really taken that to heart you know currently japanese short rates are at 25 basis points after the uh hike that happened a little bit earlier this summer and two-year interest rates are you know basically at the mid mid 0.3% range or pricing at about a 15 basis point increase that's certainly within the range of we'd call this not much tightening priced in expected uh in the short rate market and that makes a lot of sense when you look at what going on in japan there's no real reason to tighten in japan if you look on the leth hand side we show real gdp the level of japanese real gdp is actually below uh what it was in the pre-co period that's you know considerably weaker than what we've seen in other developed economies and japanese core inflation has moderated considerably and really for the last year has been running give or take around 1% that certainly doesn't make japan look like they have an inflation or any urgency to tighten and so it was not too surprising when we saw today that the bo that several members of the boj came out and said that there was very little urgency uh to tighten further so what tightening has occurred there has been through the exchange rate over the course of the last couple of months uh and th that move in the exchange rate will likely translate into lower price growth or slower price growth in uh in headline inflation as well helping uh them bring down that slightly elevated headline number uh in order to sort of basically the overall picture there is you know weak economic conditions weak inflation and you know more of the malays that we've seen over the course of many decades no urgency to titan in japan i'll wrap it up with one uh last place in here um turning our attention to china uh you know the the chinese uh debt depression and i use the word depression not to be uh uh bombastic i use word depression to describe a dynamic a depression is one in which uh there debt levels are sufficiently high that despite a decline in interest rates uh the private sector in particular is not in a position to take on more debt uh in order to create an economic re re acceleration in response to the policy easing that's what a that's what a depression is could also be called a deleveraging um but it's it's really uh it's meant to to um to describe a dynamic where uh we've broken out of a cyclical dynamic and we're now in um a self-reinforcing debt driven downturn and i think the chinese markets are really highlighting that we're seeing stocks move back to uh decade plus lows here and we're seeing the bond market also start to continue or seeing the bond market continue to fall to decade plus lows as well despite the fact that you know on both sides both in terms of the equity market and in terms of the bond market various policy initiatives have been put in place in order to intervene in those markets to prop equities up and to have bond yields not fall nearly as fast and despite those circumstances you see the markets just keep pushing uh and reflecting more of this del aaging or depression dynamic that's going on in that economy um that is uh that's the short story a little different i know than some of the previous uh presentations but i think the goal here really was to sort of look through across everything the biggest cross cutting dynamic is this dynamic that there is a global a relatively significant global easing price stand across these markets the economic conditions do not align with a significant global easing and the likely the biggest story that we're going to see over the course of the next three or six months is um is a recognition of this disconnect uh particularly in the bond market um as central banks are likely more hesitant to ease uh relative to what we've what we see priced into the market
Is Inflation Still a Problem in the U.S.?,2024-09-12 12:15:06+00:00,4,cO5DnZDEE5g,https://www.youtube.com/watch?v=cO5DnZDEE5g,and and there seems to be aort of growing consensus whether it's the markets pricing analysts or the fed themselves that in general inflation is no longer a problem are you are you in the same camp or not i i think uh i'd say not so fast uh on that front and the reason why that is is that um is that we we have uh we have two meaningful tests coming up on whether inflation has durably fallen uh to 2% first of all let's make sure we rem remind ourselves of the starting point inflation is not at 2% um 2% is the fed's target uh pce is still above 2% uh a lot of different ways you can slice it but between you know two and a half and 3% cpi is above that cor cpi is above that and so we're not at uh the fed's target in terms of inflation so that's our starting point remember that just to get to this point um it is taking remarkable goods disinflation over the course of the last 12 to 18 months now part of that has been a resolution of the supply chain issues that caused a big inflation spike but at this point when you look at things like core goods prices they're uh disinf lating or deflating at a level that was equivalent to or or even more negative than pre-co levels now do we think that we're in a world where you'd expect an extended period of core goods price deflation i don't think so and just the movement of that core goods price inflation back to something at pre-co levels or let's say above pre-co levels given you know the global de globalization dynamics and and tariff risks and you know various shipping issues there's a lot of reasons why you might think that core goods would end up uh prices would end up rising faster than they were um preco uh you know it services inflation still very elevated relative to pre-co so unless you get you have to have an extended period of very weak core goods prices to offset the elevated services price inflation in order to get to that 2% level and the real question is is that really going to happen or have we gone through a period basically we're had a price spike related to the supply chain issues a price normally ization related to the supply ch chain resolution issues and now we're going to go back to inflating in those prices so we haven't we haven't tested that and we haven't resolved it and if you think like any person who's like well inflation's 2% what they're saying is we will have relatively extreme core goods inflation forever uh and i don't think that that's a reasonable expectation so that's point number one point number two is let's say we actually get these cuts we're going to get probably some number of cuts um the question is do we get a re acceleration of the economy economy as a function of those cuts uh we're already starting to see you know mortgage applications for refinancing start to accelerate do we start to pick up more activity as a function of that easing um that would be a particularly concerning circumstance because we are not at 2% right so having a reacceleration of the economy at a time when inflation has not yet reached the fed's mandate is another test to see whether inflation is durably back down to 2% um you know central banks through time have learned that when you start to cut before you get inflation back to your mandate that is often uh that often leads to uh you know a a a second rise uh in inflation and and that's the risk that the fed uh has in front of itself if uh if it continues you know if it if it cuts aggressively at this point
