Video ID,Title,Published At,Duration (Min),URL,Transcript,Summary
5blzxpu0aRQ,GM investor day: Here's what to listen for,2024-10-08 15:21:38+00:00,2,https://www.youtube.com/watch?v=5blzxpu0aRQ,"another day.  i will stop right there but  always appreciate it.  thank you.  >>> speaking of china, live in  tennessee ahead of gm investor  day where china will be a key  focus.  >> it will be a focus because  china, which was once they  strengthen private driver for  general motors, has become a  drag and a question of what  happens in the future.  especially after losing 10 hunt  -- $210 million in china.  three topics will get a lot of  attention.  out is general motors plan to  cut the losses and adjust its  footprint in china?  a restructuring.  ev growth, we were at the  battery plant in springhill as  well as the gm spring hill plant but they are doing flexible  manufacturing between ice  models and ev models.  we have peak profitability for  general motors?  there are more than a few out  there who say yeah.  i don't think it gets better  than this even the headwinds  heading into 2025.  when you look at shares of  general motors, they remain  bullish about the prospects  when it comes to ev's.  specifically the fact they grew  them by 60% in the third  quarter relative to last year  and there up sequentially.  they continue to pickup market  share in the ev business in the  u.s. and they say they are  scratching the service,  especially like the equinox  which is a lower-priced mode","Category: Macro

Stock mentioned: General Motors (GM)

Key takeaways:
* General Motors is focusing on addressing its losses and adjusting its footprint in China after facing a $210 million loss, suggesting a potential restructuring.
* The company is looking at growth in the electric vehicle (EV) sector, with flexible manufacturing setups for internal combustion engine models and EV models.
* There is some debate about whether General Motors has reached peak profitability, with headwinds expected as they move toward 2025.
* Despite challenges, General Motors remains bullish on EV prospects, having grown their EV sales by 60% in the third quarter compared to last year and increased their market share in the U.S. EV business.
* The company is particularly optimistic about market opportunities with lower-priced models like the Equinox."
Qlso9Vw0sp8,"Don't see the point in chasing the market when valuations are 'quite full', says Barclays' Krishna",2024-10-08 14:58:44+00:00,5,https://www.youtube.com/watch?v=Qlso9Vw0sp8,"spirit that's the worst since  2008.  that was a big seller.  the s&p is coming up closing  lows in the bull market  approaching its second  birthday.   where do we go from here?  head of u.s. strategy has a  target of 5600.  good to see you.  you haven't been moved to  increase your target like some  others?  >> no.  >> why not?  >> let's see what happens.  if you see what's happening,  numbers have been cut sharply  going end.  what is anchoring the market is  big tech even though they are  running themselves.  then seasonality.  october is the weakest month.  you don't want to get ahead of  that.  that said, we are optimistic.  i think we have -- of 6100.  we have a downside.  we think of site is relatively  more likely than downside.  i don't see a point in -- the  market and valuations are quite  full across the board.  >> within a percent of all-time  highs in the major indices.  the only make seven our all- time highs is meta.  you don't think the market has  broadened out?  >> the market in some ways has  broadened.  instead of only 25% company  eating the s&p and now it's 40%  which  is decent.  the broadening in earnings is  taking place but incremental.  the reality of the anchor for  the markets remains big tech  which is a conglomeration of  six stocks.  that earnings growth despite  moderating is going to be more  than four times of the s&p.   that is where we shake out.  >> i won't ask whether 50 was a  mistake but what you expect 50  again?  >> no.  we do not expect 50.  i won't say if it's right or  wrong because you can do monday  morning quarterbacking.  clearly they were focused on  the labor market and wanted to  be preemptive and they have  wiggle room.  inflation is coming down so  they have flexibility.  that said, we don't think it's  likely they go ahead with 50  more.  it will be 25.  >> bond yields a headwind if we  stay higher for longer?  >> we have done work on that.  bond yield become a headwind  what's a comes closer to the 5%  level.  you could have a situation  where there is a positive  correlation between equities  and rates because look at  what's happening growth rate  now.  the economy is strong and  inflation is decent.  the job market is strong and  wages are going up.  things are okay.  the near term expect, because  move too fast too soon.  >> is not everywhere.  it has been confusing to talk  about the economic signals.  a lot of the data points are  coming in good.  manufacturing around the globe  was pretty weak.  we have not seen expansion  there in several months.  we will have more and pepsi  later but not painting a strong  picture of the u.s. consumer  for the global consumer.  especially at the low income  level.  it's sort of confusing.  >> it's a mixed bag.  you are right about  manufacturing.  the u.s. -- only a third  manufacturing.  services site is pretty strong.  they are extremely robust.  if you look at employee, the  same story.  weak on manufacturing a strong  on services.  it's a mixed bag.  those companies which have more  of a brand, able to hang in  there.  a majority of them are  struggling.  we created a basket of stocks  which we f","Category: Macro

Stocks mentioned: Meta

Key takeaways:
* The S&P 500 is nearing the end of a bull market cycle, with discussions on market strategy targets, including a target of 5600 and an optimistic upside target of 6100.
* Big tech companies are anchoring the market, despite the perception of broadening, with companies like Meta reaching near all-time highs.
* The market has shifted somewhat, with 40% of companies driving the S&P 500 up from the previous 25%, though the broadening of earnings is incremental.
* Inflation is reportedly coming down, giving flexibility in monetary policy, with expectations leaning towards a continuation of 25 basis point adjustments rather than 50.
* Bond yields might become a headwind if they approach 5%, but the current economic conditions show strong job growth, a decent inflation rate, and a robust services sector.
* Manufacturing remains weak globally, causing mixed economic signals and concerns about the strength of the U.S. and global consumer markets, particularly at lower income levels."
J_zcV14qCjw,Gaming sector is seeing record growth,2024-10-08 14:42:57+00:00,10,https://www.youtube.com/watch?v=J_zcV14qCjw,the gambling industry in the united states has reached a period of transformation this week the tropicana is coming down out with the olds making way for the new sports has exploded in the world of gambling and commercial casinos are on fire with me now the ceo of the american gaming association bill miller to what do you attribute the continued growth in gambling well i think it's really been an exciting time if you think about co's not that long ago and there were so many people who said look the gameing industry is going to have this sugar high period and then it's going to dissipate and what we've seen though is 41 months in a row of continued growth and that is really something to celebrate secondly what the industry recognized was we have an opportunity to reset and that reset was demographically everybody had always said well you know the thing about the casino industry is it's a blue hair business and the older you get the the the more likely we're going to get casino pat what we've seen in the last few years is the demo for our industry has skewed down from 50 to 42 and the reason is because we were able in the early days postco to introduce an entirely new segment of the population a whole new demographic millennials gen zers to our industry the gaming floor and all of the other elements of the industry in order to create a new customer base these are also young people who are growing up on online gambling or gaming that then when they reach an age where it's legal or where where it's legal that it's not much of a leap to figure out how to play games that they know and love online for money yeah but but for this industry to keep growing do you have to have more states embracing eye gaming and expanding opportunities in sports betting um look i think the sports betting has shown to be an incredible success right we've literally gone from one state in america where you could legally bet on sports to 39 in the district of columbia all in six years and so that legalization created another whole cohor of customers that understand the gaming industry many of which understand the gaming industry through their phone because that's how they interact with in all consumer facets and so the gambling industry whether it's the casinos sports betting or eye gaming these are all elements that i think that you know our customers want us to interact with them in a way that they want to interact and so that's our job because of the explosion in the digital business it has also brought with it an unprecedented level of scrutiny about where there might be societal harm whether there's underage game gambling whether uh integrity in sports can be guaranteed now you have lawmakers coming forward and introducing legislation that they think will help protect consumers that also creates a headwind doesn't it for the industry how do you deal with that well that's a lot to impact so i'll start with the congressional threat you know if you will look i i think that there are always people who want to see the industry in the manner in which they view it right and so like 435 members of the house 100 members of congress right now the industry has never been seen more favorably by the general public as a mainstream entertainment outet and so are we going to go back to a a place of prohibition which some in congress want i don't think so the american public doesn't think so and the congress doesn't think so and so look well-intentioned fine but our industry has been built on responsibility and sustainability based around creating the right kind of relationships with our customers and so i feel really good about where we are as an industry and i look at that from the perspective of who care who really cares i mean in terms of policy makers a couple policy makers have said we need to re this in this is out of control when we say we needed to create more advertising in order to move people from the illegal market into the legal marketplace advertising helped us do that it helped us break down some of the illegal market and we're happy about that but we've also seen in the last two years via neelen that advertising spend for sports betting specifically which is what gains all of the attention has been down both years when you think about what's to come do you anticipate needing more fight on enforcement warding off the unregulated offshore casinos or sweep stakes which operators are really avidly defending their right to operate sweep stak style gaming um very challenging questions the one is pretty easy you know offshore online websites that prey upon customers in america they should be outlawed because they are against the law and our members and our companies go through a pretty rigorous regulatory scrutiny in order to get license and then be able to operate and so the offshore guys really that needs to be a priority for law enforcement now the sweep stakes is a little bit different because these are individuals who and this is an industry that is constantly reinventing itself and that these individuals that have created these businesses are operating under in their opinion a regulatory frame that works and some jurisdictions have accepted that we think that at the end of the day if you're going going to operate a real money sports betting business or a real money ey gaming business it has to be underneath the gambling umbrella in terms of regulation and so you know we're all working our way through this you know at the a we have tried to do everything that we can to make sure that regulators understand they are the ultimate arbiters of what regulatory frame these people operate under one more the court has now just cded again with cy when it comes to predictions markets and the election we have a big election coming up there are those who argue and and the commodities commission is one of them that it interferes with the integrity of elections and the same way people might argue about the integrity of sports where do you come down on the predictions markets and whether that's gambling and should be regulated like gambling well i think first of all gambling should be regulated at the state level i think that that has been the way in which this industry was created and that's the way it should stay the federal government has a role fon money laundering irs and treasury those are all really important uh people that we we pay very close attention to but as it relates to should there be gambling options in and around uh politics uh my view is that it's not the federal government's role to empower this and i although i don't necessarily believe the argument that people make that you know if you would bet on the futures of politics that then you can control the outcome i think that that's kind of a reach but you know i'm an old political guy and i don't think that it's very easy to actually control outcomes of elections and then by extension create integrity issues around the election now i will go back to the the integrity of sports because that is one of those things that we've ted talked about in the past and is always core that our our industry we work with our partners at the in all of the leagues with teams arenas broadcasters in order to make sure that the most important thing if we're going to create a legal robust sports betting market is that the integrity of the game is san recet the interesting thing when you think about this is when you bet on football if you have the overwhelming number of bets coming in on the patriots it doesn't necessarily mean that the patriots are more likely to win but a lot of times in the predictions market if you have an overwhelming number of markets coming in for a particular candidate the interpretation is that candidate is more likely to win yeah maybe i mean it's like polling though you know you think about polling and you kind of say well are is is polling accurate and now people are voting in the predictions market with their money rather than maybe misleading a pollster but there's still this this is a very inexact science and again better left of the states than the federal government and again this is bill miller personal view i don't think that america we should be in the in the political betting business phil on that note thank you thank you,"Category: Other

Stock mentioned: None

Key takeaways:
* The gambling industry in the U.S. is undergoing transformation, with significant growth in sports betting and commercial casinos.
* The industry has seen consistent growth for 41 months, benefiting from a demographic shift towards younger people, including millennials and Gen Z.
* The expansion of legal sports betting has been significant, with 39 states and the District of Columbia allowing it.
* The digital explosion in gambling has brought scrutiny concerning societal harm, underage gambling, and the integrity of sports.
* There is ongoing debate about advertising's role in shifting gambling from illegal to legal markets and its impact on consumer protection.
* Offshore gambling sites pose a challenge to regulators, but legal operators face strict regulations for licensing and operation.
* The issue of regulating predictions markets, particularly concerning elections, reflects broader concerns about integrity and control, with opinions differing on federal versus state regulation.
* The industry's focus is on maintaining integrity in sports betting to ensure a robust legal market."
zMIkss8nG00,Cramer’s Stop Trading: Affirm Holdings,2024-10-08 14:20:46+00:00,3,https://www.youtube.com/watch?v=zMIkss8nG00,">>> time for jim to stop  treating.  >> top 10 the comes out for  anyone who wants to sign up.  i had one part which is bgi g  down.  then they came on and gave a  presentation about the last  quarter that said buy now, pay  later is incredible.  he's gotten incredibly low,  falls.  i think he is the real deal and  i think the firm can go higher.  i like the upgrade.  by the way, paypal is doing  incredibly well.  the bottom by our partner when  he had -- fantastic.  >> these are both buy now, pay  later.  it's the way a lot of people,  think it's a cultural thing.  because, we had credit cards  and people to buy now, pay  later and if you do it with  max, his artificial  intelligence that tells who  will pay back.  spirit target, 68.  >> i think it's a really good  stock.  i missed it.  i think there is more.  >> i don't know if you saw the  journal piece about legacy  credit card keeping the rates  high to make up for the caps on  late fees.  even as rates decline.  >> capital one does work.  he has done an incredible job.  a look at american's downgraded  and i've got to tell you, it  will be like pepsico.  watch what pepsico did.  that's the analog of what  happens when you have a stock  that goes down every day and  every quarter.  >> and shares her up.  >> everyone is freaking out  this morning.  you know?  the stock is been down from 183. it has a 3 1/4% yield.  that could be the theme.  >> how about tonight?  >> i have jenna rack.  just because i can afford to  keep throwing that away.  >> when the power goes out.  >> this man, what he has been  telling, and you have to  understand, it","Category: Macro

Stocks mentioned: BGIG, PayPal, Max, Capital One, Pepsico

Key takeaways:
* BGiG is seen as a potential growth stock after a positive recent presentation; there is optimism for its performance.
* PayPal is performing very well and showing strength in the buy now, pay later sector.
* The buy now, pay later trend is culturally growing, with Max using AI to identify reliable payers.
* Capital One is managing well despite challenges in the credit card industry, maintaining strong performance.
* American stocks are compared to Pepsico, indicating potential smooth performance even when facing downturns.
* The discussion highlights concerns around high rates maintained by legacy credit card companies to counteract caps on late fees."
kujiL3UPdO8,What to expect from the market,2024-10-08 14:19:13+00:00,5,https://www.youtube.com/watch?v=kujiL3UPdO8,"already. >> but him selling the shares  itself will put pressure on it. >> time will tell. some interesting things. let's talk about it, in fact. there are some, i don't know --  i've been troubled for a while,  but we know that. both the dow and s&p 500 seeing  their worst day yesterday since  september 6th, as oil prices and treasuries rose. joining us now at the technicals levels he's watching, jason  hunter, head of technical  strategy at jpmorgan. 22 and change on the vix. there were some weird re-post  stuff going on, the ten-year has been headed higher. are there concerning  underpinnings or is it all  systems go? >> i think it's a little  confusing, given the leadership  changes we've seen since  mid-summer in the equity space,  where you've had defensives and  cyclicals rally at the same time and kind of take the baton from  tech, which doesn't entirely  make sense. it looks like the market is  trying to make both tail risk  bets at the same time going into the september fmoc. but regardless, that's got the  smp, having broken out after the fmoc, after an all-time high,  from a pure chart-based  perspective is a positive, it's  maintained that breakout, hasn't been able to build on it, but a  breakout's a breakout. >> that's the question, i guess. is it going to break out or is  it going to go down? and do you see any signs that we could be topping out? >> you know, so i would say,  when you take the big step back, and some of the commentary we've had over the last months, when  you look at how long the curve's been inverted and now you're  starting to get a bullish  steepening impulse, generally,  that tends to coincide more with bearish equity performance, at  least over a short-term. you know, as the fed's initially starting to ease. but we haven't had the data to  really suggest that, oh,  recession's -- the sum of the  labor data softened, but the  unemployment rates ticked back  down. the demand data has picked back  up. and you can see the equity  market is quite confused by  that. again, with the leadership shift that we've seen. you know, so, at the end of the  day, it's a lot of mixed  signals. the individual charts across  different asset classes, you get a lot of things that don't  necessarily fit together. so what i've done in the recent  months is i'll take each chart  at face value and leave the kind of the macro overlay aside. the pieces aren't necessarily  fitting together right now. and like i said, if we get a  breakout in the s&p, a breakout  in the russell 2000 like we had  after fmoc, that's a bullish  bias. i'll put my stock just  underneath the breakout levels  and act more like a trend  follower, than trying to get  ahead of the things. because that quite frankly has  not worked. >> do you try to handicap  geopolitical events? or you don't even try? >> no, so i think you recognize  what those risks are, and i  think it's more about risk  management around the views and  trades, where -- set a tighter  stop. or some of the things that tend  to go non-linear, if you think  about brenttraded back up into  the summer range, and you  realize, that may not just be a  move into the upper end of the  range, that could be a blowoff. and you realize the risks around the views and set your stops  accordingly. >> okay. so what about the breadth of the advance right now? finally, something that turned  into a positive or still  something that makes you  skeptical? >> yeah, so i think that's where you see the russell breaking  out, small cap having led large  cap through the latter part of  the summer. you're getting a broader breadth of things that's participating  in the s&p rally. that's generally a positive. that's an early cycle-type  story. let's call that a bet that the  manufacturing cycle globally is  going to start to repair itself. and you can see with dm central  banks easing, some policy news  out of china, that all makes  sense right now. but again, you also had  defensive leadership at the same time. so those two pieces don't  exactly square well together. >> people are just covering  their bases? >> i think that's right. and you treat, in that world,  you just treat each chart  separately and i'll put my  charts in stop after a breakout, i'll chase that, and act a bit  more reactive than trying to  predict where the next pivot's  going to be, and hopefully  things will start to clear up a  bit more and we'll get some  foresight. but right now, being reactive  and keeping tight risk  tolerances the right way --  >> what other markets around the world are important to us right  now? >> i think the rates market is a big one. in fact, when the two-year note  got to 350 recently, going into  and after the fmoc, both the  technicals, you know, just  looking at the chart pattern,  suggests the rally looked  exhausted. but when you look at how the  forward curve was priced, how  many easings they had priced  into the forwards, we actually  went short two-year note. that has backed up with the help of this friday's payroll report, to a level where i don't think  it goes much higher from here. we think 412 is a limit for 2s,  so whatever concerning, let's  say, input that would have into  equities, that, oh, the fed's  not goin","Category: Macro

Stocks mentioned: None specifically by name.

Key takeaways:
* The current market environment is experiencing mixed signals, with both the Dow and S&P 500 suffering their worst day since early September amid rising oil prices and treasury yields.
* Although there's uncertainty in market leadership with cyclicals and defensives rising simultaneously, technical analysis indicates that the S&P 500's current breakout is positive from a chart perspective.
* The equity market is wrestling with different macroeconomic signals, such as an inverted yield curve transitioning to a bullish steepening, which typically forecasts short-term bearish equity performance.
* Economic data doesn't clearly predict a recession, as labor markets and demand data remain ambiguous, adding to the market's confusion.
* Strategies suggest being reactive and placing tight stops at breakout levels, treating each chart separately rather than trying to predict outcomes.
* A notable technical breakout in the Russell 2000 indicates stronger small-cap performance compared to large caps, hinting at a potential global manufacturing recovery.
* Investors are diversifying their bets, given the mixed market signals, with defensives also maintaining leadership alongside small caps.
* The global rates market is crucial, as recent movements in the two-year note suggest a peak, potentially setting limits for further tightening impacts on equities."
bcLh8jyBNKQ,BetMGM CEO Adam Greenblatt on the relationship between sports and gaming,2024-10-08 14:14:36+00:00,9,https://www.youtube.com/watch?v=bcLh8jyBNKQ,it's been an incredible year for sports betting and ey gaming so far this year the through the first seven months sports betting has grown 30% in terms of gross gaming revenue i gaming up about 27% with me now is the ceo of v mgm adam greenblat adam it's great to see you it's great to see you contesta the incredible growth that we're seeing in online play is it mostly coming from states that are ramping up that they're newly legalized or are you seeing incredible growth even in more mature states so it's actually both the the great news for both the uh the more mature states and the new states because it gives you a picture of what's ahead is um appetite and depth is is tremendous and more so than we anticipated at the outset of this of this journey we talked to you at super bowl and you were telling me about your high hopes for new technology at b mgm for regaining some market share that you've lost to competitors the tech is called angstrom how's it working out so we've been delighted with the performance of an you might remember that the first product that we brought to market was focused on mlb and uh what we we became bmgm became the home of the home run uh during the season and the number angstrom powered um uh home run bet increased your reno by 245 and this is all enabled by having different types of markets having more availability having better pricing and that's all powered by angstroms unique approach to pricing when i went to investor day for fanduel a couple weeks ago the company was very clearly happy having taken the number one ey gaming slot happy to have increased their moat around the number one position in sports betting can you catch up well i think in i gaming our strength is is demonstrable we've just won another reward for the third year in a row the i gaming operator of the year and um i think you'll see from some of the early trends that the work that we're doing in in uh product in jackpots in unique and special content only available at at bmgm is bearing fruit um bmgm gave away the largest jackpot ever uh in the history of i gaming uh in new jersey in august $65 million to one lucky player somebody who is playing online somebody who's playing online walked away $6.2 million richer on the day which is wonderful which is exciting but we've also been a pioneer in in our relationship between sports and gaming uh we have got um nba blitz uh we've got nhl gold blitz um these are sport properties and partnerships that that we've built games against and so this bridges our activity in sports with our activity in in i gaming and our sports players love it cross sell year on year is now increasing dramatically we're north of 50% cross sell on a week uh on a weekly basis so really pleased about the potential for both parts of the business i've heard a lot of chatter here at the global gaming expo about the competitive threat of unlicensed gaming whether it's sk bbased games or online sweep stakes models which the operators will say it's perfectly legal to offer these sweep stakes style games is that an existential threat to licensed eye gaming in the united states i don't think so look we as a as a legal operator will always operate within the bounds of of the rules and the law and so i think there there needs to be a a a process of definition scope definition i think um the opportunity for the sweeps uh operators i think the legality of of or the boundaries of of what they're uh uh engaged in still needs to be tested but we'll defend our turf naturally um but we don't we don't see it as existential in any manner at all uh i feel like i ask you this every time we sit together but usually there's a reason for me to ask it that mgm has just um partnered with groupo globo in brazil to launch bet mgm in brazil it will be a direct competitor to main and it doesn't have anything to do with the bet mgm that you're running here in the united states they've launched bet mgm on leo vegas in the uk again a direct competitor to one of your co-owners and tain is this sustainable is it putting you in a difficult position to dance between these two companies yes well just for clarity the uh the the joint venture of which i'm chief executive uh has exclusive rights to operate in the us so there's no there's no debate about who's doing what in in the united states and frankly we're operating harmoniously in north of the border in canada where both leo vegas and tin and the joint venture my b mgm are are all active in the market and you know it's it's not without a degree of of uh uh pleasure that we've come from nothing bm jim my joint venture has come from nothing to be the largest uh operator by market share um in in uh ontario so can we coexist yes are we coexisting yes relationship in the and uh board dynamic and conversation has never been better so i don't it doesn't put me in a difficult position at all what can you learn from ontario for the the rest of the united states south of the canadian border well what we see is uh a market where direct promotional activity is not allowed and that not withstanding a a business can flourish we're demonstrating that what i'm also excited about is the strength of the mgm brand north of the border and that's particularly relevant given that we have alberta coming which is going to be both a sports and i gaming state so it's the first i gaming state we've had in a couple of years and this is obviously b mgm's uh heartland it strength it's uh mgm resorts as a as a brand resonates particularly well uh with uh with gamers and so we're looking forward to capitalizing that uh on that when when alberta regulates how's football oh my goodness so the genesis to what to my excitement is the progress we've made in product and you you you did check angstrom but the whole product experience the bed mgm sports product experience is by some margin better than it's ever been our same game parlay experience our parlay experience our pre-build parlays our linear bet slip which allows us which allows players to see all their bet in a single pain uh a quick bet experience this is one titbit building a quick bet a little uh bar at the bottom of of the screen we've increased by the work we've done we've increased the number of legs on our quick bet by more than 100% and as we know more legs equals more margin and this is weeks in so really excited about the progress we're making our players are enjoying it our players are coming back from week to week in a way uh in a more engaged way than in prior periods and we've been helped by margin the first few weeks of the the season were really favorable to to to the industry and so september closed out what would be a record quarter for bam jy so really excited about that adam thank you for spending some time with me course thank you for having me,"Category: Other

Stock mentioned: None

Key takeaways:
* The sports betting and iGaming industries have seen significant growth in 2023, with sports betting gross gaming revenue up 30% and iGaming up 27%.
* Both newly legalized states and mature states are contributing to this growth, indicating strong overall demand.
* B MGM has introduced new technology called Angstrom, which has notably increased revenue in areas like MLB home run bets by 245%.
* B MGM continues to focus on unique offerings, such as exclusive games and large jackpots, to enhance their market position.
* Despite competitive threats from unlicensed gaming, B MGM remains confident due to its compliance with legal frameworks.
* B MGM has expanded internationally, as seen with ventures in Brazil and Canada, but continues to operate harmoniously with different partners in these regions.
* The strength of the MGM brand is expected to benefit B MGM in new markets like Alberta, Canada.
* B MGM has improved its betting product experience, which has led to increased player engagement and margin.
* Early season results in sports betting have been strong for B MGM, contributing to a record quarter."
tbFZxyVy0wI,Caesars Entertainment CEO on capturing market share in the digital business,2024-10-08 14:14:22+00:00,1,https://www.youtube.com/watch?v=tbFZxyVy0wI,and you mentioned the digital business you know the the powerhouse in this space is fanduel and draftkings coming in a strong number two and then there's this fight over the third and fourth positions how important is it to you you just launched a new online casino app horseshoe yesterday how how much is this important to the growth of caesar's business and can you make an impact can you grab market share away from the the two big players yeah well contest i'm oldfashioned i like to make money so i measure it based on how much money we're making not how much market share we have so our promo spend is a third to a half of what draftkings and fanduel have so those subsidies don't run through our ggr market share numbers but we've got a business that's approaching soon will exceed 20% eah margins in a business where most are still losing money,"Category: Other

Stock mentioned: None specifically mentioned in the provided text.

Key takeaways:
* Fanduel and DraftKings are positioned as the leading companies in the digital business sector discussed.
* A new online casino app, Horseshoe, was launched, aiming to enhance Caesar's business growth.
* Despite lower promotional spending compared to DraftKings and Fanduel, there's a focus on profitability over market share for Caesar's.
* Caesar's digital business is nearing a 20% EBITDA margin, contrasting with competitors that are currently losing money."
WlJt43brScI,Cramer’s Mad Dash: AMD,2024-10-08 14:13:03+00:00,2,https://www.youtube.com/watch?v=WlJt43brScI,"before opening bell, amd on the  docket. >> yeah. we've got a very big october  10th. san francisco media advancing  a.i., that is thursday, okay. that is going to be released as  an event. i think almost as important,  david, go back ten years to when the stock wasn't great. and you will see october 8th is  when they took over amd. >> so she's there ten years. >> not bad. >> so she's there ten years? >> ten years. >> i remember the early meetings with her. she took me out and said,  listen, you're on the wrong side of the train with the intel. get off the intel train and get  on micro horse. i switched and i switched hard,  david. and, man, look a","Category: Technology

Stocks mentioned: AMD, Intel

Key takeaways:
* AMD is a focal point before the markets open, with significant anticipation around its upcoming event on October 10th in San Francisco, which will highlight advancements in A.I.
* The transcript reflects on the transformative leadership of AMD over the past ten years, marking a considerable turnaround in the company's fortunes.
* There is a past strategic shift from Intel to AMD mentioned, indicating a significant change of perspective and investment choice in the semiconductor space."
xIdl-U4BOFo,"Opening Bell: October 8, 2024",2024-10-08 14:12:26+00:00,2,https://www.youtube.com/watch?v=xIdl-U4BOFo,"i switched and i switched hard,  david. and, man, look at that. >> no regrets there. >> no, some ceos are so good. and she is. >> let's get to opening bell  here in cnbc at the big board. [ bell ] international flavors  celebrating its 50th anniversary at the nasdaq capital. celebrating the 1 billion of the free cash flow etfs. >> the comeback, a deal that  didn't work out. but really started to -- let's  put it this way, it was one of  the great blue chips of our  time. i think for it to make a  comeback, it's going to take a  while. yesterday, david said, nike's  turn, this will take on nike. david, i can't tell you -- these things are hard to turn. >> you're talking about nike? >> nike. >> no, there's a lack of  patience, certainly, on the part of many investors.","Category: Other

Stock mentioned: Nike

Key takeaways:
* The speaker discussed a switch in strategy with a strong commitment, mentioning the satisfaction with recent decisions.
* Praise for a particular CEO's performance was expressed.
* A company celebrating its 50th anniversary and another celebrating significant free cash flow were mentioned at the stock exchange.
* There was discussion about a comeback attempt for a previously successful, now struggling, company, though specifics were not provided.
* Nike was identified as facing challenges in turning its performance around, with an emphasis on investor impatience regarding the time it takes for such changes."
ey_BI9P2Ugw,"Tesla will find it difficult to leapfrog existing players like Uber and Waymo, says Toni Sacconaghi",2024-10-08 13:39:38+00:00,5,https://www.youtube.com/watch?v=ey_BI9P2Ugw,"teased and the release of robo  taxis. but our knicks guest says a lot  of questions remain, including  regulatory issues around  self-driving cars, how tesla  will scale the service, and  ultimately, how much more  competition will be in the  space. joining us right now is  bernstein senior research  analyst, toni sacconaghi. good morning to you. what do you expect we're going  to hear? we've been waiting for this news for a long time. i think it's exciting to me, but also for many, there's some  skepticism about when it will  actually arrive. >> good morning, andrew. yes, i think the consensus is  that tesla will announce a  dedicated robo taxi model,  likely to be available at some  point in the future. let's say '27 or '28, that tesla will demonstrate a application,  whereby a ride-hailing app, that it will provide some sort of  update on where they are on full self-driving, and maybe also  potentially announce that it's  doing some robo taxi trials. i expect if they did that, those would have to be with an  accompanying driver. but nevertheless, starting  trials in one or my cities in  the u.s. i think that's generally what's  expected amongst investors. there are big questions about  whether tesla will provide  updates on optimus robot or  whether it will provide an  update on new models,  particularly the revamped models expected next year, or a  lower-cost model expected in  '27. but i think the focus will  ultimately be on a robo taxi,  you know, unveiling itself and  an accompanying ride-hailing  app. >> so, toni, we're looking at  the stock at $242.92. if, in fact, they make this  announcement, how does this  change the game? how does it change how you would value this company? >> you know, i think investors  are applying different  probabilities and discount rates to a robo taxi service going  forward. so i think it's widely  anticipated, but as you noted at the outset, there are lots of  questions. there are technical questions  about whether tesla can get to  the reliability level with a  more limited censor sweep. they only have cameras. other competing autonomous  vehicles have lidar and radar,  so there's technical question. i think there's a regulatory  question. there's a timing question. and you know, how competitive is this space going to be? are prices going to be driven  down and how much value will  there be to be captured? so investors are ascribing  differently possibilities and -- >> what possibilities are you  ascribing and how are you doing  the valuation then? >> this is what i think about  it, andrew. i think it will be difficult for tesla to leapfrog other players. uber and waymo are doing testing in other cities. even if tesla is able to  leapfrog, it i think it will be  a limited -- you know, limited  to a year advantage. let's say in a year, tesla has  level five robo taxis that can  go anywhere, they have a  ride-hailing service. my guess is, competitors will  catch up reasonably quickly. so this notion of having  sustained outside profits, even  if tesla were to leapfrog given  the technical hurdles and the  regulatory hurdles, i think are  difficult. and the valuation of uber is  $150 billion. the valuation of uber, you know, probably in the u.s. is half of  that, $75 billion. tesla's stock today embeds, we  think, $600 billion beyond the  core auto business. much of that ascribed to robo  taxis. we struggle with that  differential, given the  probabilities that i --  >> let me ask you this in terms  of the competition piece of it. which is to say, you made the  argument that you think that an  uber and a waymo will have an  advantage, maybe given lidar and other things over tesla. there's an argument to be made,  and maybe you'll disagree with  it, which is that they have a  number of the -- a number? thousands, tens of thousands of  these cars on the street today  that have cameras on them,  they're taking in data that  can't really be matched. if you look at some of their  self-driving features right now, they clearly seem to be the  leader or the most advanced in  terms of where that would be, if you were to sort of set aside  what waymo is doing. is there an argument to be made  that they will leapfrog  everybody? and that they in some ways  already have? >> well, i think the bulk case  is that they will leapfrog. i think it's very difficult to  say that they already have. because, you kno","Category: Technology

Stock mentioned: Tesla

Key takeaways:
* Tesla is expected to announce a dedicated robo taxi model, potentially available by 2027 or 2028.
* The company may also demonstrate a ride-hailing app and provide updates on full self-driving capabilities and potentially announce robo taxi trials.
* There are technical and regulatory challenges to be addressed, especially since Tesla uses only cameras while competitors use lidar and radar.
* The competitive landscape includes players like Uber and Waymo who are already testing autonomous vehicles in various cities.
* Despite potential advancements, the expectation is that competitors will quickly catch up, questioning the long-term profitability and market dominance.
* Current Tesla stock valuation includes significant expectations for future robo taxi services, which might be challenging to justify based on existing competitive and technical hurdles."
